Date,BBDC4.SA,ITSA4.SA,PETR4.SA,VALE3.SA,r_PETR4.SA,r_VALE3.SA,r_ITSA4.SA,r_BBDC4.SA,mean_r_PETR4.SA,var_r_PETR4.SA,mean_r_VALE3.SA,var_r_VALE3.SA,mean_r_ITSA4.SA,var_r_ITSA4.SA,mean_r_BBDC4.SA,var_r_BBDC4.SA
2008-01-03,21.57775115966797,5.267693996429443,42.79999923706055,58.20000076293945,0.9794338862240223,0.9867256139192545,0.9839080284381735,1.0051813338368645,,,,,,,,
2008-01-04,21.324188232421875,5.244071960449219,40.70000076293945,56.099998474121094,0.9882488714709047,0.9955156780184582,0.9509346142160043,0.9639174869194229,,,,,,,,
2008-01-07,21.71908187866211,5.244071960449219,39.505001068115234,55.099998474121094,1.0185185781487254,1.0,0.9706388286873852,0.9821746875722056,,,,,,,,
2008-01-08,22.05162239074707,5.291316032409668,41.67499923706055,56.20000076293945,1.01531098385939,1.0090090434145,1.054929707892015,1.019963744451554,,,,,,,,
2008-01-09,21.860410690307617,5.244071960449219,42.459999084472656,55.599998474121094,0.9913289055539203,0.9910713947775797,1.0188362294369049,0.9893238028349988,,,,,,,,
2008-01-10,22.155542373657227,5.333836078643799,42.04999923706055,56.810001373291016,1.0135007382766357,1.017117255230588,0.9903438564236323,1.0217626426686526,,,,,,,,
2008-01-11,21.798059463500977,5.173205852508545,40.779998779296875,56.099998474121094,0.9838648540339372,0.9698846714134312,0.9697978482566924,0.9875021495862218,,,,,,,,
2008-01-14,22.018367767333984,5.211000919342041,40.54499816894531,56.0,1.0101067851568115,1.0073059274869507,0.9942373561209897,0.9982174959564888,,,,,,,,
2008-01-15,21.074783325195312,5.007853031158447,38.7599983215332,53.900001525878906,0.9571455771785884,0.9610155723769774,0.9559748445424942,0.9625000272478376,,,,,,,,
2008-01-16,20.700674057006836,4.951159954071045,37.29999923706055,51.40999984741211,0.9822484880429958,0.988679165156273,0.9623323233308411,0.9538033096850419,,,,,,,,
2008-01-17,19.83606719970703,4.851947784423828,35.42499923706055,51.04999923706055,0.9582329128549729,0.979961833071937,0.949731902457064,0.9929974594160657,,,,,,,,
2008-01-18,19.9067325592041,4.766909122467041,35.900001525878906,51.59000015258789,1.0035624682446183,0.9824732940800011,1.0134086746379214,1.010577882930414,,,,,,,,
2008-01-21,19.204240798950195,4.59683084487915,33.23500061035156,46.220001220703125,0.9647108455310461,0.9643210572682642,0.9257659943661493,0.8959100811009516,,,,,,,,
2008-01-22,19.204240798950195,4.6346259117126465,36.47999954223633,47.599998474121094,1.0,1.0082219833857058,1.0976379982636155,1.0298571444606504,,,,,,,,
2008-01-23,18.767780303955078,4.535414218902588,35.85499954223633,45.0,0.9772727024429428,0.9785933763155877,0.9828673243464168,0.9453781815658114,,,,,,,,
2008-01-24,20.20602035522461,4.842498779296875,38.369998931884766,50.119998931884766,1.0766334658641779,1.0677081619390854,1.0701436179544732,1.1137777540418836,,,,,,,,
2008-01-28,20.40970230102539,4.8661208152771,40.435001373291016,50.25,1.0100802603491448,1.0048780675136597,1.0538181521733188,1.0025937963065783,,,,,,,,
2008-01-29,19.952457427978516,4.955883979797363,40.400001525878906,51.08000183105469,0.9775966907158709,1.0184465548488755,0.9991344170588992,1.0165174493742226,,,,,,,,
2008-01-30,19.948301315307617,4.918088912963867,41.314998626708984,52.38999938964844,0.9997916992086864,0.9923736982165912,1.022648442234438,1.0256459967038867,,,,,,,,
2008-01-31,19.424549102783203,4.785806179046631,40.20000076293945,51.83000183105469,0.9737445206864553,0.9731028177289466,0.97301227397237,0.989310983677843,,,,,,,,
2008-02-01,19.358041763305664,4.629900932312012,40.849998474121094,54.900001525878906,0.9965761192640498,0.9674234097867965,1.016169096986209,1.0592320969779474,,,,,,,,
2008-02-06,18.83013153076172,4.450375080108643,39.400001525878906,53.11000061035156,0.9727291510681296,0.9612246882108295,0.9645043573462855,0.9673952483465129,,,,,,,,
2008-02-07,18.514217376708984,4.39368200302124,40.625,52.400001525878906,0.9832229449095115,0.987261056412796,1.031091330626383,0.9866315368798119,,,,,,,,
2008-02-08,18.377044677734375,4.370059967041016,40.900001525878906,53.5,0.9925909534179299,0.9946236354920586,1.006769268329327,1.020992336681094,,,,,,,,
2008-02-11,19.121105194091797,4.535414218902588,41.584999084472656,55.5,1.0404885839592546,1.0378379823409,1.0167481059422534,1.0373831775700935,,,,,,,,
2008-02-12,19.744619369506836,4.738562107086182,41.66999816894531,55.90999984741211,1.0326086891466764,1.044791474026103,1.0020439842814473,1.007387384638056,,,,,,,,
2008-02-13,20.28499984741211,4.870844841003418,42.279998779296875,56.790000915527344,1.0273684930457472,1.0279162182383168,1.0146388441842114,1.0157396006173656,,,,,,,,
2008-02-14,19.79034423828125,4.72438907623291,41.76499938964844,56.310001373291016,0.9756147097435662,0.9699321638132211,0.9878193139896537,0.9915478159095241,,,,,,,,
2008-02-15,19.910890579223633,4.818877220153809,41.400001525878906,55.220001220703125,1.0060911694860368,1.020000076707535,0.9912606759462805,0.9806428675900388,,,,,,,,
2008-02-18,20.368133544921875,4.936986923217773,42.474998474121094,57.59000015258789,1.0229644657971935,1.0245097971307504,1.02596610890389,1.042919211870575,,,,,,,,
2008-02-19,20.035593032836914,4.818877220153809,42.650001525878906,57.90999984741211,0.9836734911742628,0.9760765614937087,1.0041201426261248,1.0055565149153736,,,,,,,,
2008-02-20,20.447111129760742,4.936986923217773,42.75,60.0,1.0205393519547628,1.0245097971307504,1.0023446300244658,1.0360904879657202,,,,,,,,
