Date,a,b,c,Taxa SELIC,SELIC_daylly,r_SELIC,k1,k2,r_ef,var_ef,k3
2008-03-17,0.23513266830435828,-0.41715735750839483,0.18636695440551998,11.18,1.0002903992084755,0.0146222481766487,6.415030725477323,0.0007613821802273593,0.8936170858321936,0.00135355630977601,6.326837734987778
2008-03-18,0.20481296505407823,-0.36193394371518556,0.16121425051871482,11.17,1.0002901527032986,0.014621998139622505,5.643864378871867,0.0007622316247682657,0.8909714798666719,0.0013281415652544417,5.55810859805586
2008-03-19,0.16971909530578455,-0.30007694901623705,0.13414671421991836,11.18,1.0002903992084755,0.014621998139622505,4.372379392003922,0.0008839151983094076,0.8942509879341302,0.00152439188501001,4.283801458672803
2008-03-20,0.15723332742396443,-0.2799937823338288,0.12632582664644632,11.18,1.0002903992084755,0.014622248176648256,3.8408395401520323,0.0009738541947772121,0.90254724190142,0.001699146439975062,3.750013460537903
2008-03-24,0.13762341238520984,-0.24682864803624532,0.11241769131083271,11.18,1.0002903992084755,0.014622498213736401,3.2941404482885766,0.001007929898219599,0.9111310610882966,0.0017738692618797056,3.2046023608941168
2008-03-25,0.12172848237513141,-0.21813004126607397,0.0994215687860575,11.18,1.0002903992084755,0.014622498213736845,2.950072599796564,0.0009914955513846127,0.9118397135238586,0.0017332835717103646,2.8628964469834117
2008-03-26,0.12644293288353087,-0.2264266300516624,0.1029630776931764,11.18,1.0002903992084755,0.014622498213736401,3.1658487271347093,0.000928853161626487,0.9096947771801385,0.001621119672360094,3.0808028180344404
2008-03-27,0.12105809664392021,-0.216586628502809,0.09841235011158281,11.18,1.0002903992084755,0.01462249821373618,3.0869959062896455,0.0008993093297129106,0.908993380131581,0.0015630868112479685,3.003744757763396
2008-03-28,0.120843241830043,-0.21642832569828507,0.09838297883009837,11.18,1.0002903992084755,0.014622498213736401,3.1432356667243426,0.0008628725065271628,0.9093774056288323,0.0015013547968434273,3.06173567036795
2008-03-31,0.1220719411944447,-0.21887279894606912,0.0995600662266926,11.18,1.0002903992084755,0.01462249821373618,3.204311934035117,0.0008450709558490229,0.9099726541946603,0.0014735035900427884,3.123596121441403
2008-04-01,0.12626862728715324,-0.22713637562823744,0.10358441401467278,11.18,1.0002903992084755,0.01462249821373618,3.3283706870369407,0.000831224870972305,0.9122994845216792,0.001460175543381852,3.2481496702317862
2008-04-02,0.11360642735375427,-0.20450716754645315,0.09345318979453604,11.13,1.000289166461411,0.014621247803948023,3.0169858089956354,0.0008221095492610288,0.9141645762652364,0.0014405176664552962,2.9384994186554962
2008-04-03,0.11389523499421292,-0.20495324065386253,0.09359327744131227,11.18,1.0002903992084755,0.014621247803948245,3.054365683404045,0.0008067886714610097,0.9135376102862232,0.0014121620736957897,2.9765303156619436
2008-04-04,0.1008817918568975,-0.1816783227363421,0.08303968557794295,11.18,1.0002903992084755,0.014621497840790143,2.8609009603209716,0.0007247137687663127,0.9143656579222896,0.0012629570353388452,2.7882668353746083
2008-04-07,0.08431215689607674,-0.15306545065916943,0.07066112167810212,11.18,1.0002903992084755,0.014621497840789699,2.444062183206277,0.0006872655010552582,0.9235343940649287,0.0012110822626340537,2.3753703303900546
2008-04-08,0.06709329132395853,-0.1248019740210469,0.059118093330299715,11.18,1.0002903992084755,0.014621497840789477,2.0404082131223817,0.0005992976674436888,0.9476671104913302,0.001102037445460329,1.9791764577881712
2008-04-09,0.0599976371278451,-0.11285361702575723,0.05413237897780821,11.18,1.0002903992084755,0.014621747877692659,1.8394518235601516,0.0005782505735064953,0.9596357080107967,0.0010858838564765895,1.7805694469490763
2008-04-10,0.052338026927243805,-0.09940283528202151,0.048274762412009696,11.18,1.0002903992084755,0.014621747877692437,1.5947151830989574,0.0005755910618101569,0.971634393856248,0.0011024875909531112,1.5372394126329392
2008-04-11,0.04231987190368004,-0.08226907900347488,0.0410201620543114,11.18,1.0002903992084755,0.014621747877692437,1.313702126457999,0.0005310824808337783,0.9976047384467042,0.0010655193931222392,1.2606055679162378
2008-04-14,0.03699003205868212,-0.07311290539861452,0.037143124251341655,11.18,1.0002903992084755,0.014621747877692437,1.1609555649375627,0.0005033159668335489,1.0164654022863324,0.001044557376636934,1.1105723682582478
2008-04-15,0.0336622609519635,-0.06809478131380554,0.035361593437543,11.18,1.0002903992084755,0.014621747877692659,1.1070077156437677,0.00043866071959176357,1.0389975895885797,0.0009502287855492277,1.061198519583388
2008-04-16,0.03340285502657749,-0.06755679745811927,0.035094386656107465,11.18,1.0002903992084755,0.014621747877692659,1.0916769953235732,0.00044425231065032996,1.0393660916665226,0.0009626408917175151,1.04560843578328
2008-04-17,0.035573132738947064,-0.07224001658539529,0.0375521929281833,11.68,1.0003026963595358,0.014634221212348919,1.2012865892984366,0.00041299167485409115,1.0400057475565296,0.0008984861212834649,1.1567767605855634
2008-04-18,0.037838255073227786,-0.07749791985149923,0.04047193767633197,11.65,1.0003019600802163,0.014645947863034303,1.3459234154878053,0.0003662433958306899,1.0447610770059117,0.0008065556258560605,1.304085761362732
2008-04-22,0.04234104277087832,-0.08579032030219481,0.04420326058195755,11.64,1.0003017146099327,0.014657425656128709,1.5494564263498627,0.000353267694007002,1.030750853954034,0.0007599422113361709,1.507563927755506
2008-04-23,0.04448611402860015,-0.08929290760040114,0.04553827016346032,11.64,1.0003017146099327,0.014668903579061476,1.6454923993335973,0.0003521248954102845,1.020217905910856,0.0007431774322602446,1.6031134169277066
