Date,IBOV,S&P500,r_IBOV,r_S&P500,mean_r_IBOV,var_r_IBOV,mean_r_S&P500,var_r_S&P500
2011-02-16,67571.0,1336.3199462890625,1.01854057068781,1.00625743515661,1.0883779352065621,0.0008149033182046054,0.8821591015201413,0.0004867261222373254
2011-02-17,67685.0,1340.4300537109375,1.0016871142945938,1.0030756911421466,1.087715354612755,0.0008067263671462632,0.8837583730594362,0.0004975233004971411
2011-02-18,68067.0,1343.010009765625,1.0056437910910836,1.0019247226272978,1.0872425376104464,0.0007990531440007779,0.8854152736345878,0.0005043608957220582
2011-02-22,66440.0,1315.43994140625,0.9760970808174299,0.9794714349417348,1.0863198280665478,0.000810359722326083,0.8866824443584977,0.0004817384295205815
2011-02-23,66910.0,1307.4000244140625,1.0070740517760386,0.9938880394770494,1.0859170580275443,0.0008192845777795467,0.8877758962677338,0.00045687727419827857
2011-02-24,66949.0,1306.0999755859375,1.0005828725153192,0.9990056227597918,1.085620950409937,0.0008268709805168618,0.8887861504740333,0.000434175234874592
2011-02-25,66903.0,1319.8800048828125,0.9993129098268831,1.010550516464632,1.0851627795908652,0.0008351532107141683,0.8898845774426002,0.00042353253011753625
2011-02-28,67383.0,1327.219970703125,1.0071745661629523,1.0055610856995778,1.0846078166043174,0.0008332162083523651,0.8910836156652776,0.00041536031370200424
2011-03-01,66243.0,1306.3299560546875,0.9830817862072035,0.9842603222453241,1.083811828384943,0.0008490338989305688,0.8919783334394741,0.000394884585710654
2011-03-02,67282.0,1308.43994140625,1.0156846761167218,1.0016152009236128,1.083624611955746,0.0008520615408332422,0.8929901076622054,0.00036672969576627683
2011-03-03,68146.0,1330.969970703125,1.0128414732023423,1.0172190014871152,1.0838920639974559,0.0008490178410419818,0.894207664442453,0.00035598007005563386
2011-03-04,68012.0,1321.1500244140625,0.9980336336688874,0.9926219625497074,1.0839019342513763,0.000848989464264389,0.8952751343616062,0.00033745806122480664
2011-03-09,67264.0,1320.02001953125,0.9890019408339705,0.9991446808750477,1.0839019342513763,0.0008489894642643891,0.896283178555114,0.00031928219687869466
2011-03-10,66041.0,1295.1099853515625,0.9818179115128449,0.9811290481878198,1.083209742895808,0.0008700291075516984,0.8968430338414518,0.00030142695313443296
2011-03-11,66685.0,1304.280029296875,1.0097515179963963,1.0070805136621839,1.0826410889118872,0.0008782682981346542,0.897471023316055,0.00028657554712482175
2011-03-14,67169.0,1296.3900146484375,1.0072580040488865,0.9939506743404705,1.0822217623179207,0.0008805220558793733,0.8980185784472282,0.0002691241200294187
2011-03-15,67005.0,1281.8699951171875,0.9975583974750257,0.9887996518276272,1.0819676828782965,0.0008852090042467015,0.8983548226148399,0.00025484428321816035
2011-03-16,66003.0,1256.8800048828125,0.9850458920976046,0.9805050509571445,1.0813187932818624,0.0009046343609207797,0.8983322956676563,0.00025618971747222576
2011-03-17,66216.0,1273.719970703125,1.0032271260397254,1.0133982287528573,1.080447663774579,0.0009134556532752376,0.8985249480499362,0.00024711008800648625
2011-03-18,66880.0,1279.2099609375,1.010027787845838,1.004310201897317,1.079675555201786,0.0009072237174891055,0.8988197317027584,0.00023381662499240126
2011-03-21,66690.0,1298.3800048828125,0.9971590909090909,1.0149858463666614,1.0786337658202687,0.0008889835565468032,0.899186104586745,0.0002256139720323601
2011-03-22,67578.0,1293.77001953125,1.0133153396311292,0.9964494328823412,1.0777613627318345,0.0008543752357395107,0.8995118469760135,0.0002166485099433865
2011-03-23,67796.0,1297.5400390625,1.0032259019207435,1.0029139796674342,1.0767122502586992,0.0007938107182906376,0.8998017939061832,0.00021055714268013265
