Date,Taxa SELIC,SELIC_daylly,r_SELIC,a,b,c,aloc,k1,k2,r_ef,var_ef,k3
2008-12-18,0.25,1.0000068407910654,0.0012836233163071586,0.01732054833890224,-0.025178513000836667,0.010271447232302704,[-0.01  0.27 -0.71  1.46],0.5173010365898907,0.0009916965102558933,0.8160474449259736,0.0012589182367938414,0.43347862826340217
2008-12-19,0.25,1.0000068407910654,0.001265894275864765,0.017966385090096643,-0.026327037404406256,0.010753636161526678,[-0.    0.26 -0.71  1.44],0.5394904800194134,0.0009686094815234289,0.817072996784694,0.0012370322981380196,0.45670238661936924
2008-12-22,0.25,1.0000068407910654,0.001212709038007409,0.01723966644931928,-0.025654370612679233,0.010654306453682158,[-0.1   0.31 -0.66  1.45],0.5173950226078791,0.0009399441559780498,0.8307449132251088,0.0012398021605475992,0.4372611018958903
2008-12-23,0.25,1.0000068407910654,0.0011949812531941717,0.017241162365622426,-0.02507466486472297,0.010172163699797067,[-0.09  0.37 -0.62  1.33],0.5307269482308827,0.0009356709234531889,0.8114884777664747,0.0011779011059336285,0.44887607389836337
2008-12-24,0.25,1.0000068407910654,0.0011772537822751783,0.017580807234984855,-0.025319821987015597,0.010094745787446666,[-0.11  0.42 -0.55  1.24],0.5620675633046415,0.0008879292576744799,0.7975054399581323,0.0010837058400202475,0.48090572134715026
2008-12-26,0.25,1.0000068407910654,0.0011390827432142814,0.01767877370629067,-0.025560106569963374,0.01017002071855399,[-0.21  0.49 -0.46  1.18],0.5793140336286596,0.0008411837723187332,0.7958879525552028,0.0010254404047464498,0.5001565025083762
2008-12-29,0.25,1.0000068407910654,0.0010777536019070943,0.01679799671201867,-0.024723123581514194,0.00988781044660151,[-0.44  0.63 -0.3   1.11],0.5972684073796405,0.000694304164445915,0.7999774437124993,0.0008599809068028744,0.5258029253225613
2008-12-30,0.25,1.0000068407910654,0.001057311389700999,0.015946304322011932,-0.023279633602872375,0.009265513774824593,[-0.56  0.74 -0.19  1.01],0.5749761029310255,0.0006853176495878774,0.7961147226613574,0.0008390009033189213,0.5037010235188178
2008-12-31,0.25,1.0000068407910654,0.0010368695949294349,0.014324631728861465,-0.020940312519429242,0.008320691451782077,[-0.81  0.93  0.    0.88],0.5542999402001776,0.0005948252017625343,0.7947961795015366,0.0007262947780993771,0.48791125162882537
2009-01-02,0.25,1.0000068407910654,0.00099598725765504,0.012390912847126463,-0.018392510596707084,0.007439669267898982,[-1.08  1.11  0.15  0.82],0.4998870055434517,0.0005305540724715327,0.8090787683981091,0.000669875742537282,0.4384366975814983
2009-01-05,0.25,1.0000068407910654,0.0009346668822851623,0.010999928071240997,-0.016273074618475707,0.006668539020752512,[-1.14  1.17  0.15  0.82],0.43144492398687795,0.0005606575376441432,0.8196805558895943,0.0007204061949634596,0.36919255501401266
2009-01-06,0.25,1.0000068407910654,0.0009142275919398202,0.00984253502913009,-0.014414239982694014,0.0059545115440881955,[-1.15  1.21  0.11  0.83],0.37823639255321895,0.0005906612017593422,0.8263159286973933,0.0007642588171241089,0.31492216386423266
2009-01-07,0.25,1.0000068407910654,0.0008937887189688354,0.009777637698720434,-0.013959547505093919,0.005672372349024904,[-1.01  1.15  0.04  0.82],0.37226720672789365,0.0006301764094005407,0.8128110420845369,0.0007856096197046298,0.30577796234060706
2009-01-08,0.25,1.0000068407910654,0.000873350263362882,0.008643373628205513,-0.012478065071822706,0.005169648515458237,[-1.1   1.23  0.03  0.84],0.33488931718304876,0.0005928363189242158,0.8287271193556177,0.0007649083982674149,0.2717105247530057
2009-01-09,0.25,1.0000068407910654,0.0008529122251159649,0.00760216994943351,-0.010551648120038186,0.0043207331355419355,[-1.06  1.29 -0.01  0.78],0.29605583122966794,0.0006258015375683139,0.8191221781434684,0.0007784047809257891,0.2304094808534493
2009-01-12,0.25,1.0000068407910654,0.0007916006144317311,0.006809750470911858,-0.009279476971966828,0.0038039626802552585,[-1.17  1.44  0.02  0.71],0.2686057464179252,0.0006264548799392769,0.8200268853556849,0.0007737185581710704,0.20301957094588358
2009-01-13,0.25,1.0000068407910654,0.0007711642455285883,0.006339221536159217,-0.008408717212871798,0.003404671689379548,[-1.16  1.5   0.01  0.65],0.2553695146967022,0.0006289584247421917,0.8099663571210487,0.0007527114006040733,0.18883327276705048
2009-01-14,0.25,1.0000068407910654,0.0007507282939396287,0.005908185778260511,-0.007643234298023912,0.003048858950842313,[-1.12  1.5   0.02  0.61],0.24598104277680813,0.0006157562531260967,0.7979682888314784,0.0007118576798528794,0.1791596261756747
2009-01-15,0.25,1.0000068407910654,0.000730292759658191,0.005804534153859628,-0.007612291801355234,0.0030085869042685144,[-1.18  1.58  0.06  0.54],0.2563206575313436,0.0005393706215741345,0.7906051855885453,0.000618431679496637,0.1932644136124357
2009-01-16,0.25,1.0000068407910654,0.0007098576426733949,0.005366864911670371,-0.00696017174784791,0.002672261415790929,[-1.22  1.74  0.1   0.39],0.2632470386716129,0.0004514612078905067,0.7680031517633971,0.0004923592879193196,0.203923478614831
2009-01-20,0.25,1.0000068407910654,0.0006281213475423097,0.005113333794855916,-0.006539212817290254,0.0024839075767944833,[-1.21  1.79  0.08  0.35],0.2578577261000416,0.00043851738730628316,0.7598144621503882,0.0004673388332957452,0.198781667434792
2009-01-21,0.25,1.0000068407910654,0.0006076883169201519,0.0046677005186761995,-0.005780565906193751,0.0021739456007526707,[-1.13  1.75  0.04  0.34],0.23811826640505396,0.0004515600224668564,0.7522872718764975,0.00046691985682268327,0.17755049984615043
2009-01-22,0.25,1.0000068407910654,0.0005872557035435655,0.004220463998823608,-0.004802091908290367,0.0017753102429701757,[-1.    1.62  0.01  0.37],0.2086014307696921,0.0005489631917850139,0.739566529900082,0.0005322630943322193,0.14048238283199632
2009-01-23,0.25,1.0000068407910654,0.0005668235074045569,0.004310177678779359,-0.0047055801986496315,0.0017318334678772087,[-1.01  1.61  0.04  0.37],0.2037460393661776,0.0006383491220859966,0.7362742007977752,0.000603782189096717,0.12979574168559527
2009-01-26,0.25,1.0000068407910654,0.0005055294223323958,0.004433385202162983,-0.004894748354652622,0.0018223588462188424,[-1.11  1.68  0.05  0.38],0.20420852487290803,0.0006572283861911093,0.7447945156408615,0.0006360595481939654,0.13003625393486942
2009-01-27,0.25,1.0000068407910654,0.000485098895061542,0.005520433303757702,-0.0063933706223189375,0.002349151898531169,[-0.97  1.51  0.04  0.42],0.24736017378200925,0.0006530263996681601,0.7350018109060219,0.0006323036904432906,0.17262684716417948
2009-01-28,0.25,1.0000068407910654,0.0004646687849858555,0.00723455811208821,-0.008960242842649983,0.003268244727538731,[-0.98  1.53  0.04  0.4 ],0.3255461320321781,0.0005893108035017068,0.7295819161219333,0.0005818948758874726,0.254115690160531
2009-01-29,0.25,1.0000068407910654,0.0004442390920973427,0.007960592622270599,-0.01009342080566235,0.00370056079525038,[-0.95  1.46  0.05  0.44],0.35560338175840006,0.0005760449570041025,0.7333315986814524,0.0005797459369019689,0.2853284703150261
2009-01-30,0.25,1.0000068407910654,0.0004238098163871218,0.010143552559382261,-0.012367810896360618,0.004289706914987145,[-0.55  1.06  0.03  0.46],0.44492823973297624,0.0006510555188559613,0.6937474267173414,0.000591514616460795,0.3657976909085342
2009-02-02,0.25,1.0000068407910654,0.00036252449224316585,0.010917238201763454,-0.0132404378528919,0.0045060268435631904,[-0.38  0.91 -0.    0.48],0.4924260528734004,0.0006265582948602018,0.6806906110573316,0.0005517750711822637,0.413273023483362
2009-02-03,0.25,1.0000068407910654,0.0003420968851615136,0.011829532500999246,-0.014482792039865092,0.0048483268007841526,[-0.25  0.81 -0.04  0.48],0.5803127097168189,0.0005266615034598245,0.6695613857299557,0.0004545351824643721,0.5064848970657728
2009-02-04,0.25,1.0000068407910654,0.0003420968851615136,0.011777831796481772,-0.015073781104269796,0.005092317635391112,[-0.16  0.63 -0.01  0.55],0.7177102326994902,0.00031806017527503526,0.6756714378993014,0.0002843501157118919,0.6608632757857855
2009-02-05,0.25,1.0000068407910654,0.0003420968851615136,0.01102279741186285,-0.014318180823192134,0.004885832801849456,[-0.12  0.51  0.01  0.6 ],0.717303891373546,0.0002715167423780554,0.6824829649166948,0.00024814991967070816,0.6653506381394761
2009-02-06,0.25,1.0000068407910654,0.0003420968851615136,0.01020802345582333,-0.013140127668122394,0.004464665262244683,[-0.11  0.55 -0.03  0.59],0.6644063881231665,0.00027581817816941476,0.679565817147712,0.00024924791408074845,0.6118686823225563
2009-02-09,0.25,1.0000068407910654,0.0003420968851615136,0.0099670501497658,-0.012956822462046295,0.0044421656344013375,[-0.1   0.5  -0.01  0.62],0.6553445658043541,0.000265149840586509,0.6857063070392446,0.00024402935459431283,0.604309012860727
2009-02-10,0.25,1.0000068407910654,0.0003420968851615136,0.009195922838934112,-0.011962940774073845,0.0041226816270814445,[-0.1   0.46  0.    0.64],0.6036824876976463,0.0002651073184396285,0.6892625837317514,0.0002458999364320288,0.5529600377961743
2009-02-11,0.25,1.0000068407910654,0.0003420968851615136,0.008276743771009959,-0.010761896697425194,0.00373507624114876,[-0.13  0.48  0.01  0.64],0.5378961946044051,0.0002698391966484925,0.6941528986042679,0.0002528089281069059,0.4871368027225243
2009-02-12,0.25,1.0000068407910654,0.0003420968851615136,0.008285642169927599,-0.010813733288985982,0.0037562614085903706,[-0.13  0.47  0.02  0.64],0.5487729644348676,0.00025825602401768834,0.6947426718923866,0.0002427086492727762,0.4991572792661219
2009-02-13,0.25,1.0000068407910654,0.0003420968851615136,0.007980153658893083,-0.01049191794462386,0.0036634571683764666,[-0.12  0.44  0.02  0.66],0.5443795949093797,0.0002401926226456698,0.6983602187714679,0.0002282958191506931,0.4967958741693204
2009-02-17,0.25,1.0000068407910654,0.0003420968851615136,0.007960066758188585,-0.010483831699927735,0.0036629568830967357,[-0.09  0.41  0.02  0.67],0.5479731295547926,0.00023517378772892718,0.6988030073623808,0.0002239284813072594,0.5009203213007872
2009-02-18,0.25,1.0000068407910654,0.0003420968851615136,0.0073588298961953,-0.010026632286874154,0.0035912201494408143,[-0.13  0.35  0.05  0.73],0.5549744026213645,0.00018399957699307616,0.7163538822610892,0.00018488156177112796,0.5144049075921273
2009-02-19,0.25,1.0000068407910654,0.0003420968851615136,0.00733675348673019,-0.010022758055466239,0.003592920969946771,[-0.11  0.33  0.05  0.73],0.5628821384584919,0.00017702661392383033,0.7169695368834997,0.0001783325391324585,0.5231241642692666
2009-02-20,0.25,1.0000068407910654,0.0003420968851615136,0.007456349693569147,-0.010085972487234949,0.0035791870908889007,[-0.08  0.34  0.03  0.72],0.5745150937155381,0.0001790299524027351,0.7097525475260246,0.0001767687300038628,0.5341201704698344
2009-02-23,0.25,1.0000068407910654,0.0003420968851615136,0.007781471322999986,-0.010420353778144688,0.0036606786751355986,[ 0.01  0.28 -0.    0.71],0.5930857750530637,0.00018665769185412644,0.7026185003416044,0.00018064573222185856,0.5514041421665992
2009-02-24,0.25,1.0000068407910654,0.0003420968851615136,0.008065525312336395,-0.010752359234643176,0.003753165091173787,[ 0.05  0.26 -0.02  0.71],0.619320337210855,0.00018571945042918724,0.6981262621024883,0.00017763869753859298,0.5774618491237087
2009-02-25,0.25,1.0000068407910654,0.0003420968851615136,0.007979586846946498,-0.010662824196882196,0.0037270055443473153,[ 0.11  0.19 -0.02  0.73],0.621356868837156,0.00017984381438050908,0.6990812119228623,0.00017256560445667258,0.58022634674895
2009-02-26,0.25,1.0000068407910654,0.0003420968851615136,0.008043458111664974,-0.010758322432679341,0.00376122460543605,[ 0.16  0.13 -0.03  0.74],0.628386345102503,0.00017839188327035548,0.699236983182603,0.00017131462974493176,0.5874282361090571
2009-02-27,0.25,1.0000068407910654,0.0003420968851615136,0.007710138323697108,-0.010283230726412617,0.0035863086992827045,[ 0.23  0.06 -0.04  0.75],0.6142622196796489,0.000172509674433311,0.6975219477158481,0.0001647961225365617,0.5739017975466472
