Date,AMZN,COKE,GOOG,MSFT,r_GOOG,r_MSFT,r_AMZN,r_COKE,mean_r_GOOG,var_r_GOOG,mean_r_MSFT,var_r_MSFT,mean_r_AMZN,var_r_AMZN,mean_r_COKE,var_r_COKE
2008-01-03,4.760499954223633,57.2400016784668,17.06926918029785,35.369998931884766,0.9891947956828328,0.9741321190182984,1.0002043055037868,1.0042588786480071,,,,,,,,
2008-01-04,4.439499855041504,55.79999923706055,16.363664627075195,34.380001068115234,0.9325700866991229,0.9748427253811914,0.9586622868401947,0.9720102376684812,,,,,,,,
2008-01-07,4.440999984741211,55.09000015258789,16.170637130737305,34.61000061035156,1.000337905112893,0.9872760018964104,0.9882038955981468,1.006689922486641,,,,,,,,
2008-01-08,4.394000053405762,54.90999984741211,15.73302936553955,33.45000076293945,0.9894168134436082,0.9967326138196185,0.9729381247220034,0.9664836802382152,,,,,,,,
2008-01-09,4.261000156402588,57.22999954223633,16.269020080566406,34.439998626708984,0.9697314757881975,1.0422509506696631,1.0340678646542698,1.0295963480176176,,,,,,,,
2008-01-10,4.2129998207092285,59.4900016784668,16.107873916625977,34.33000183105469,0.9887349603540301,1.0394898157313903,0.9900949065682867,0.996806132403008,,,,,,,,
2008-01-11,4.053999900817871,56.650001525878906,15.8966646194458,33.90999984741211,0.962259689850974,0.9522608829642063,0.986887822795647,0.9877657453760271,,,,,,,,
2008-01-14,4.143499851226807,55.59000015258789,16.284461975097656,34.38999938964844,1.0220769493336395,0.9812885905606413,1.0243948881690237,1.0141551030491367,,,,,,,,
2008-01-15,4.01200008392334,55.5,15.881720542907715,34.0,0.9682636003318469,0.9983810010372216,0.9752683611650286,0.9886595115856318,,,,,,,,
2008-01-16,4.017499923706055,55.720001220703125,15.341246604919434,33.22999954223633,1.0013708473747929,1.003963985958615,0.9659688044171234,0.9773529277128332,,,,,,,,
2008-01-17,4.00600004196167,55.029998779296875,14.963663101196289,33.11000061035156,0.9971375527161737,0.9876166111577565,0.975387690880214,0.9963888373897736,,,,,,,,
2008-01-18,3.98799991607666,56.2400016784668,14.950213432312012,33.0099983215332,0.9955067085131144,1.0219880597130804,0.9991011780475596,0.996979695349595,,,,,,,,
2008-01-22,3.9240000247955322,57.81999969482422,14.554197311401367,31.959999084472656,0.9839518824904866,1.028093847247561,0.973511005531551,0.9681914786292004,,,,,,,,
2008-01-23,3.698499917984009,60.91999816894531,13.66428279876709,31.93000030517578,0.942533102602803,1.0536146400982875,0.9388551293078086,0.9990613648261508,,,,,,,,
2008-01-24,3.883500099182129,60.83000183105469,14.30861759185791,33.25,1.0500203285928313,0.99852271272824,1.0471546734343757,1.0413404222426597,,,,,,,,
2008-01-25,3.880000114440918,60.0099983215332,14.107123374938965,32.939998626708984,0.9990987550787116,0.9865197520164654,0.985917981550251,0.9906766504273379,,,,,,,,
2008-01-28,3.7909998893737793,61.72999954223633,13.847596168518066,32.720001220703125,0.9770617983396728,1.0286619108283819,0.9816031093283026,0.9933212685131239,,,,,,,,
2008-01-29,3.697499990463257,61.79999923706055,13.7116060256958,32.599998474121094,0.9753363488158879,1.0011339655814564,0.9901795126628957,0.9963324345322426,,,,,,,,
2008-01-30,3.7105000019073486,60.08000183105469,13.655566215515137,32.20000076293945,1.0035158922184237,0.9721683264200689,0.9959129652590919,0.9877301309845407,,,,,,,,
2008-01-31,3.884999990463257,60.060001373291016,14.054819107055664,32.599998474121094,1.0470286992228024,0.9996671029102178,1.029237373627679,1.0124222888728007,,,,,,,,
2008-02-01,3.7314999103546143,61.0,12.849337577819824,30.450000762939453,0.9604890397720853,1.0156509924278325,0.9142300217417473,0.934049146876851,,,,,,,,
2008-02-04,3.697499990463257,61.70000076293945,12.339499473571777,30.190000534057617,0.9908884039372451,1.0114754223432698,0.9603218375141677,0.9914614048483611,,,,,,,,
2008-02-05,3.6045000553131104,60.599998474121094,12.622687339782715,29.06999969482422,0.9748478876565204,0.9821717621520828,1.0229497044687637,0.9629015959118677,,,,,,,,
2008-02-06,3.424499988555908,60.18000030517578,12.495911598205566,28.520000457763672,0.9500624042183387,0.9930693369716062,0.9899565173275273,0.9810801774050768,,,,,,,,
2008-02-07,3.5455000400543213,59.34000015258789,12.57660961151123,28.1200008392334,1.0353336405030733,0.9860418719121268,1.0064579532810758,0.9859747681588348,,,,,,,,
2008-02-08,3.674999952316284,59.20000076293945,12.869013786315918,28.559999465942383,1.036525147595254,0.9976407248181928,1.0232498410809423,1.0156471768697493,,,,,,,,
2008-02-11,3.759500026702881,58.79999923706055,12.980345726013184,28.209999084472656,1.022993217818503,0.9932432175553397,1.0086511632939308,0.9877450844532718,,,,,,,,
2008-02-12,3.7225000858306885,58.880001068115234,12.90388298034668,28.34000015258789,0.9901582815243011,1.0013605753757266,0.9941093444442494,1.0046083329434345,,,,,,,,
2008-02-13,3.8864998817443848,61.310001373291016,13.315589904785156,28.959999084472656,1.044056357859586,1.041270384869128,1.031905661657466,1.0218771675563365,,,,,,,,
2008-02-14,3.7899999618530273,59.150001525878906,13.256561279296875,28.5,0.9751704817116719,0.9647692089540045,0.9955669537804653,0.9841160532108134,,,,,,,,
2008-02-15,3.6480000019073486,57.869998931884766,13.19155502319336,28.420000076293945,0.962532991721654,0.9783600581407572,0.9950962957335672,0.9971929851331209,,,,,,,,
2008-02-19,3.6040000915527344,57.720001220703125,12.676236152648926,28.170000076293945,0.9879386210713791,0.9974080229142877,0.9609356994199394,0.9912033779264999,,,,,,,,
